iter	Logloss
0	0.679809984
1	0.6687747625
2	0.6602346299
3	0.653793303
4	0.6480155993
5	0.6429656135
6	0.6391080245
7	0.635573372
8	0.6328387571
9	0.6301931594
10	0.62837604
11	0.6266482911
12	0.6253242059
13	0.6235693864
14	0.6222352544
15	0.6212986296
16	0.620382907
17	0.6191195514
18	0.6184828324
19	0.6177066847
20	0.617140239
21	0.6160425379
22	0.6155239371
23	0.6146633706
24	0.6141173057
25	0.6137482722
26	0.6134111699
27	0.6129120811
28	0.612634744
29	0.6122536699
30	0.611974204
31	0.6116658074
32	0.611201291
33	0.6110156395
34	0.6107060859
35	0.6105355288
36	0.6102746395
37	0.6100624507
38	0.6097283275
39	0.6095168729
40	0.6091104031
41	0.6089118588
42	0.6087256923
43	0.6085614105
44	0.6083336867
45	0.6081794056
46	0.6079669916
47	0.6077583912
48	0.6076105414
49	0.6074599611
50	0.6073596577
51	0.6072635525
52	0.606993727
53	0.6068668212
54	0.6067442965
55	0.6066233099
56	0.6065071981
57	0.6064099545
58	0.6062599397
59	0.6061305791
60	0.606000502
61	0.6059234609
62	0.605843358
63	0.6056772553
64	0.6055785965
65	0.6054946205
66	0.6053505495
67	0.605273378
68	0.605170972
69	0.6050702639
70	0.6049588955
71	0.6048917075
72	0.6047917834
73	0.6046751065
74	0.6044726553
75	0.6043947608
76	0.6042869831
77	0.6042083223
78	0.6041088234
79	0.6040005879
80	0.60391481
81	0.6038119003
82	0.6037509139
83	0.6036760368
84	0.6035942678
85	0.6034991938
86	0.6034480193
87	0.6033934148
88	0.603300302
89	0.6031964157
90	0.6030960033
91	0.6029769427
92	0.6029353238
93	0.6028867848
94	0.6028271688
95	0.6027923817
96	0.6027154898
97	0.6025953901
98	0.6025336689
99	0.6024113659
100	0.6022933161
101	0.6022004138
102	0.6021100173
103	0.6020154826
104	0.6019366723
105	0.6018419488
106	0.6017015967
107	0.6016360421
108	0.6015672377
109	0.6015096162
110	0.6014252948
111	0.6013020711
112	0.6011893019
113	0.6011256885
114	0.6010367167
115	0.6009300472
116	0.6008355214
117	0.6007452222
118	0.600602417
119	0.6005169755
120	0.6004186103
121	0.6003552956
122	0.6002706008
123	0.6001834488
124	0.6001041617
125	0.6000312824
126	0.5999452794
127	0.5998491201
128	0.5997688518
129	0.5996624117
130	0.5995766512
131	0.599464797
132	0.5993662559
133	0.5992902833
134	0.5991748456
135	0.5990891175
136	0.5989767744
137	0.5988814317
138	0.5987941588
139	0.5987105311
140	0.5986203784
141	0.598533905
142	0.5984348464
143	0.5983508786
144	0.5982741117
145	0.5982034717
146	0.598126399
147	0.5980444636
148	0.5979458412
149	0.5978517725
150	0.5977812938
151	0.5976787312
152	0.5975956618
153	0.5975023099
154	0.5974090338
155	0.5973303927
156	0.597247522
157	0.5971492247
158	0.5970490745
159	0.5969809508
160	0.5968916178
161	0.5967985596
162	0.5967202884
163	0.5966379262
164	0.5965542187
165	0.5964599752
166	0.5963606575
167	0.5962862287
168	0.5962144937
169	0.5961084005
170	0.5960197112
171	0.595936138
172	0.5958550179
173	0.5958055186
174	0.5957331285
175	0.59565275
176	0.5955866328
177	0.5954962045
178	0.5954334273
179	0.5953416999
180	0.595234449
181	0.5951510141
182	0.5950768102
183	0.5949897714
184	0.5948912083
185	0.5948185905
186	0.5947452089
187	0.5946693931
188	0.5945856069
189	0.594504987
190	0.5944311097
191	0.5943555399
192	0.594296545
193	0.5942244641
194	0.5941492188
195	0.5940881741
196	0.5939897042
197	0.5939124135
198	0.5938631993
199	0.5937749657
200	0.5936807312
201	0.5936009447
202	0.5935006361
203	0.5934224358
204	0.5933479014
205	0.5932808322
206	0.5932162003
207	0.5931213454
208	0.5930332307
209	0.5929565725
210	0.5929148406
211	0.5928478778
212	0.5927678767
213	0.5926950118
214	0.5926301237
215	0.5925368905
216	0.5924576135
217	0.5923931672
218	0.5923244022
219	0.5922231347
220	0.592153349
221	0.5920784456
