iter	Passed	Remaining
0	34	34484
1	66	33125
2	99	32941
3	129	32284
4	159	31709
5	186	30923
6	212	30195
7	240	29772
8	265	29245
9	292	29004
10	320	28804
11	349	28759
12	378	28712
13	402	28328
14	429	28178
15	455	28017
16	479	27734
17	505	27596
18	532	27474
19	559	27421
20	584	27269
21	611	27173
22	637	27060
23	663	26989
24	687	26797
25	714	26750
26	739	26653
27	766	26601
28	793	26553
29	819	26501
30	848	26526
31	876	26501
32	904	26507
33	934	26545
34	962	26549
35	991	26550
36	1021	26598
37	1052	26637
38	1082	26681
39	1112	26692
40	1143	26754
41	1175	26815
42	1206	26854
43	1241	26979
44	1275	27060
45	1309	27158
46	1343	27240
47	1379	27353
48	1414	27457
49	1447	27506
50	1483	27608
51	1511	27561
52	1543	27584
53	1576	27624
54	1610	27671
55	1643	27705
56	1677	27753
57	1712	27815
58	1745	27835
59	1777	27852
60	1809	27848
61	1838	27818
62	1870	27814
63	1902	27819
64	1939	27898
65	1980	28028
66	2018	28108
67	2051	28116
68	2086	28155
69	2128	28283
70	2164	28327
71	2205	28429
72	2243	28488
73	2281	28552
74	2319	28610
75	2355	28642
76	2390	28657
77	2430	28731
78	2466	28750
79	2502	28784
80	2542	28848
81	2584	28931
82	2625	29008
83	2670	29120
84	2710	29179
85	2751	29240
86	2794	29331
87	2838	29413
88	2880	29486
89	2922	29550
90	2963	29604
91	3011	29724
92	3062	29863
93	3106	29941
94	3151	30017
95	3198	30120
96	3247	30229
97	3288	30271
98	3326	30272
99	3360	30247
100	3407	30330
101	3449	30372
102	3499	30475
103	3544	30536
104	3581	30528
105	3611	30458
106	3643	30411
107	3685	30438
108	3727	30469
109	3767	30484
110	3806	30485
111	3847	30501
112	3883	30486
113	3923	30491
114	3967	30531
115	4013	30586
116	4054	30600
117	4093	30593
118	4137	30628
119	4175	30617
120	4213	30607
121	4250	30591
122	4287	30571
123	4320	30519
124	4359	30515
125	4396	30495
126	4471	30734
127	4544	30960
128	4593	31016
129	4641	31059
130	4688	31098
131	4732	31118
132	4771	31107
133	4813	31109
134	4857	31124
135	4904	31157
136	4950	31184
137	4994	31199
138	5037	31201
139	5075	31178
140	5114	31158
141	5155	31152
142	5197	31151
143	5237	31131
144	5274	31099
145	5310	31063
146	5348	31036
147	5384	30999
148	5423	30977
149	5461	30950
150	5501	30931
151	5539	30907
152	5575	30866
153	5609	30817
154	5647	30785
155	5681	30740
156	5717	30701
157	5754	30668
158	5789	30624
159	5828	30600
160	5864	30561
161	5900	30521
162	5936	30485
163	5971	30441
164	6008	30406
165	6044	30368
166	6083	30345
167	6119	30305
168	6154	30264
169	6184	30197
170	6218	30145
171	6256	30116
172	6295	30094
173	6333	30068
174	6373	30045
175	6426	30089
176	6471	30091
177	6521	30113
178	6581	30187
179	6631	30209
180	6670	30181
181	6708	30150
182	6745	30113
183	6783	30081
184	6818	30039
185	6858	30016
186	6900	29999
187	6941	29979
188	6983	29966
189	7024	29945
190	7064	29920
191	7107	29909
192	7144	29873
193	7180	29832
194	7215	29785
195	7250	29740
196	7282	29685
197	7312	29619
198	7348	29578
199	7390	29561
200	7426	29522
201	7462	29479
202	7497	29437
203	7534	29399
204	7570	29357
205	7611	29337
206	7648	29300
207	7681	29250
208	7715	29202
209	7748	29149
210	7780	29094
211	7812	29040
212	7847	28995
213	7882	28952
214	7914	28897
215	7945	28838
216	7978	28789
217	8009	28731
218	8042	28680
219	8076	28633
220	8112	28596
221	8147	28554
222	8179	28499
223	8218	28470
224	8259	28450
225	8304	28439
226	8343	28412
227	8376	28362
228	8411	28319
229	8446	28279
230	8484	28244
231	8520	28205
232	8555	28161
233	8588	28115
234	8624	28075
235	8659	28032
236	8695	27994
237	8731	27954
238	8766	27913
239	8796	27855
240	8831	27815
241	8863	27764
242	8893	27706
243	8922	27646
244	8956	27601
245	8993	27566
246	9029	27527
247	9065	27490
248	9102	27452
249	9134	27402
250	9171	27367
251	9210	27338
252	9248	27307
253	9284	27269
254	9324	27243
255	9366	27222
256	9405	27192
257	9445	27164
258	9487	27143
259	9526	27113
260	9562	27075
261	9598	27036
262	9634	26998
263	9670	26959
264	9703	26912
265	9735	26864
266	9771	26825
267	9807	26787
268	9841	26744
269	9876	26704
270	9913	26667
271	9950	26632
272	9984	26590
273	10021	26552
274	10050	26495
275	10084	26453
276	10116	26404
277	10149	26358
278	10181	26310
279	10214	26266
280	10251	26231
281	10286	26190
282	10320	26146
283	10352	26100
284	10379	26040
285	10413	25998
286	10450	25963
287	10486	25925
288	10521	25885
289	10556	25845
290	10591	25805
291	10621	25754
292	10654	25708
293	10685	25660
294	10717	25613
295	10748	25563
296	10778	25513
297	10810	25465
298	10839	25413
299	10872	25368
300	10903	25321
301	10936	25276
302	10966	25226
303	11001	25187
304	11038	25154
305	11071	25110
306	11104	25065
307	11135	25017
308	11162	24962
309	11192	24912
310	11226	24871
311	11260	24831
312	11296	24795
313	11334	24761
314	11369	24723
315	11402	24681
316	11437	24642
317	11468	24595
318	11503	24556
319	11539	24520
320	11576	24486
321	11609	24445
322	11646	24411
323	11680	24369
324	11717	24337
325	11755	24304
326	11793	24271
327	11830	24239
328	11867	24203
329	11901	24162
330	11934	24120
331	11967	24079
332	12000	24037
333	12031	23991
334	12068	23956
335	12100	23913
336	12134	23873
337	12168	23833
338	12200	23789
339	12235	23750
340	12270	23712
341	12304	23674
342	12337	23632
343	12370	23591
344	12402	23547
345	12434	23503
346	12469	23464
347	12500	23420
348	12535	23383
349	12570	23344
350	12605	23306
351	12637	23264
352	12671	23224
353	12703	23182
354	12737	23141
355	12773	23106
356	12807	23068
357	12841	23029
358	12876	22990
359	12912	22955
360	12944	22912
361	12974	22867
362	13007	22826
363	13040	22784
